Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,rtoeo lo lo lo io
Dovrebbe arrivare tra qualche minuto,pero ora e tutto
Le auguro una buona giornata,lo lo lo io
E in offerta costa dieci euro,a lo lo lo e e lo
"Certo volentieri, io lo prendero macchiato",certo lo lo lo lo e io
Si grazie e arrivederci,e a lo
Tutto bene tu,lo
Piacere Luigi come stai,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo si si e io
Va bene grazie lo stesso,lo
Perfetto vorrei comprarne due.,lo e a lo
E in offerta costa dieci euro,a a lo
Certo ecco a lei vuole un sacchetto,e e lo e certo
Salve quanto costa quell articolo,a lo
Buonasera io sono Mario,e lo lo mario
