Truth,Decoded
Prego,e lo
Tutto bene tu,e lo
"Certo volentieri, io lo prendero macchiato",e lo
Si grazie e arrivederci,e lo lo lo
Buonasera io sono Mario,lo lo lo io
Quanto costa il biglietto,lo io
A che ora arriva il pullman,lo lo lo lo
Perfetto vorrei comprarne due.,lo lo lo lo lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo lo lo
Tutto bene grazie,lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo lo lo lo lo lo e io
Buongiorno io sono Mario,lo lo
Prendiamo un caffe al bar,e lo e lo
Piacere Luigi come stai,lo lo lo lo
Prego,e io
Tutto bene tu,lo lo
