Truth,Decoded
Prego,io
Tutto bene tu,lo lo
"Certo volentieri, io lo prendero macchiato",lo lo lo e io
Si grazie e arrivederci,lo lo lo lo
Buonasera io sono Mario,lo lo lo lo
Quanto costa il biglietto,lo lo
A che ora arriva il pullman,e lo lo lo lo
Perfetto vorrei comprarne due.,lo a lo
Certo ecco a lei vuole un sacchetto,lo e lo lo lo lo
Tutto bene grazie,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo lo io lo e acuio
Buongiorno io sono Mario,lo lo lo
Prendiamo un caffe al bar,lo lo
Piacere Luigi come stai,lo lo lo
Prego,lo
Tutto bene tu,lo lo
