Truth,Decoded
Tutto bene grazie,setce tu a e e
Certo ecco a lei vuole un sacchetto,setce due a oeow
Buonasera io sono Mario,bene tu a lo
Le auguro una buona giornata,e bene a lo
A che ora arriva il pullman,setn due a io
Piacere Luigi come stai,e e a e un
Buongiorno io sono Mario,petce bene a e lo
Dovrebbe arrivare tra qualche minuto,setc bene a io lo
Salve quanto costa quell articolo,e tu a e un
Va bene grazie lo stesso,setce bene a lo e
Purtroppo non lo so pero potresti chiedere all autista,e e un a io
Prendiamo un caffe al bar,piacere due a e io
Perfetto vorrei comprarne due.,e e a e e in
E in offerta costa dieci euro,bene tu a lo un
Quanto costa il biglietto,pitne bar a lo
Si grazie e arrivederci,bene bruen a io
