Truth,Decoded
Prego,lo
Tutto bene tu,lo lo
"Certo volentieri, io lo prendero macchiato",butouo io lo io e mario
Si grazie e arrivederci,lo lo lo io lo
Buonasera io sono Mario,buneio lo mario
Quanto costa il biglietto,lo io lo io a
A che ora arriva il pullman,e lo lo e a io a
Perfetto vorrei comprarne due.,lo io a un
Certo ecco a lei vuole un sacchetto,lo lo lo lo e tcueo
Tutto bene grazie,un io
Purtroppo non lo so pero potresti chiedere all autista,purtoto lo lo lo stai come lo autista
Buongiorno io sono Mario,buona lo mario
Prendiamo un caffe al bar,euro a e a
Piacere Luigi come stai,lo lo io mario
Prego,pero
Tutto bene tu,lo lo
