Truth,Decoded
Tutto bene grazie,lo e io
Certo ecco a lei vuole un sacchetto,cuanon e lo un lo macchiato
Buonasera io sono Mario,buona io sono mario
Le auguro una buona giornata,e a un a io
A che ora arriva il pullman,lo a un
Piacere Luigi come stai,purnen lo io lo mario
Buongiorno io sono Mario,puronoio io mario
Dovrebbe arrivare tra qualche minuto,tu e a e ecco
Salve quanto costa quell articolo,ceaun un io lo stceto
Va bene grazie lo stesso,lo e e stesso
Purtroppo non lo so pero potresti chiedere all autista,purtonono lo lo chiedere autista
Prendiamo un caffe al bar,lo un lo mario
Perfetto vorrei comprarne due.,due lo lo grazie
E in offerta costa dieci euro,e a un un lo
Quanto costa il biglietto,un un io
Si grazie e arrivederci,stai e io
