Truth,Decoded
Quanto costa il biglietto,lo lo
"Certo volentieri, io lo prendero macchiato",pero lo e io
Prendiamo un caffe al bar,tu e io
Va bene grazie lo stesso,e lo
Piacere Luigi come stai,lo io
Le auguro una buona giornata,e lo io
Salve quanto costa quell articolo,lo lo
Prego,e lo
Buonasera io sono Mario,tu io
Perfetto vorrei comprarne due.,lo lo
Buongiorno io sono Mario,lo lo
Dovrebbe arrivare tra qualche minuto,lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,ptoto lo e ctitato
Certo ecco a lei vuole un sacchetto,lo io
A che ora arriva il pullman,e lo io
Tutto bene grazie,e io
