Truth,Decoded
Va bene grazie lo stesso,lo lo lo
Salve quanto costa quell articolo,prtoe lo e e lciato
Dovrebbe arrivare tra qualche minuto,pero lo uoaua e ecco
Le auguro una buona giornata,euro lo lo io io
E in offerta costa dieci euro,e lo lo lo lo e e lo
"Certo volentieri, io lo prendero macchiato",certo lo io lo e euro
Si grazie e arrivederci,e e a io
Tutto bene tu,lo lo
Piacere Luigi come stai,pero io lo
Purtroppo non lo so pero potresti chiedere all autista,tutto lo lo a che e tutto
Va bene grazie lo stesso,e eaiso
Perfetto vorrei comprarne due.,pero e a lo
E in offerta costa dieci euro,e a a lo
Certo ecco a lei vuole un sacchetto,e e bene certo
Salve quanto costa quell articolo,e a lo
Buonasera io sono Mario,lo e lo lo mario
