Truth,Decoded
Certo ecco a lei vuole un sacchetto,e a a
E in offerta costa dieci euro,e e io
Va bene grazie lo stesso,lo e io a
Le auguro una buona giornata,lo lo lo io e a
Purtroppo non lo so pero potresti chiedere all autista,pero lo lo lo io lo un
Prendiamo un caffe al bar,pero lo a
A che ora arriva il pullman,e un e io a
Tutto bene grazie,lo lo lo a
Quanto costa il biglietto,lo io
Perfetto vorrei comprarne due.,che e e lo reaui
Buongiorno io sono Mario,lo
"Certo volentieri, io lo prendero macchiato",lo e e
Si grazie e arrivederci,io e lo
Tutto bene grazie,tutto e e a
Tutto bene tu,lo e lo
E in offerta costa dieci euro,e ora e e uaui euro
