Truth,Decoded
Prego,in a a e e lo lo
Tutto bene tu,in e a anatao lo
"Certo volentieri, io lo prendero macchiato",e tu a anatnr lo
Si grazie e arrivederci,io e a una io lo
Buonasera io sono Mario,io e ianan sono io
Quanto costa il biglietto,io tu a sono lo lo
A che ora arriva il pullman,io a lo tra lo
Perfetto vorrei comprarne due.,io un a io lo
Certo ecco a lei vuole un sacchetto,io e in bar lo lo
Tutto bene grazie,e e a lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,e tu una tra lo
Buongiorno io sono Mario,tra lo lo lo
Prendiamo un caffe al bar,lo a sono lo lo
Piacere Luigi come stai,io a a sono lo lo
Prego,si e non lo tra
Tutto bene tu,e e e sono io lo
