Truth,Decoded
Tutto bene grazie,e lo
Certo ecco a lei vuole un sacchetto,e e lo
Buonasera io sono Mario,e e lo
Le auguro una buona giornata,e e io
A che ora arriva il pullman,e e io
Piacere Luigi come stai,e lo
Buongiorno io sono Mario,e lo lo
Dovrebbe arrivare tra qualche minuto,e lo
Salve quanto costa quell articolo,e lo
Va bene grazie lo stesso,e lo
Purtroppo non lo so pero potresti chiedere all autista,perorerao
Prendiamo un caffe al bar,e e io
Perfetto vorrei comprarne due.,lo lo e lo
E in offerta costa dieci euro,e lo
Quanto costa il biglietto,e e lo
Si grazie e arrivederci,pero lo
