Truth,Decoded
Buongiorno io sono Mario,lo lo lo
Le auguro una buona giornata,e lo lo
A che ora arriva il pullman,lo a e lo
Prego,lo
Tutto bene grazie,lo lo
Dovrebbe arrivare tra qualche minuto,e e a lo
"Certo volentieri, io lo prendero macchiato",lo lo e io e mario
Quanto costa il biglietto,pero e a lo
Prendiamo un caffe al bar,lo a lo
Dovrebbe arrivare tra qualche minuto,lo io io io
Piacere Luigi come stai,pero e io e io
Salve quanto costa quell articolo,e lo
Prego,e io
Buonasera io sono Mario,lo e mario
Si grazie e arrivederci,lo lo io
Tutto bene tu,lo e io
