Truth,Decoded
Quanto costa il biglietto,lo e e lo
"Certo volentieri, io lo prendero macchiato",lo lei io sono mario
Prendiamo un caffe al bar,euro lo lo e e bar
Va bene grazie lo stesso,lo e ora e tu
Piacere Luigi come stai,euro un lo mario
Le auguro una buona giornata,le auguro un buona a
Salve quanto costa quell articolo,lo certo costa il sono
Prego,pero
Buonasera io sono Mario,buonasera io sono mario
Perfetto vorrei comprarne due.,pero ora grazie
Buongiorno io sono Mario,buona io lo mario
Dovrebbe arrivare tra qualche minuto,lo che a e e le minuto
Purtroppo non lo so pero potresti chiedere all autista,purtrtoponenoeo pero porese e amonu iata
Certo ecco a lei vuole un sacchetto,certo a un lo macchiato
A che ora arriva il pullman,ora mario lo
Tutto bene grazie,tutto grazie
