Truth,Decoded
Tutto bene grazie,a lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo
Buonasera io sono Mario,lo lo lo lo
Le auguro una buona giornata,sono lo
A che ora arriva il pullman,lo lo lo lo
Piacere Luigi come stai,lo lo e io
Buongiorno io sono Mario,lo lo lo
Dovrebbe arrivare tra qualche minuto,lo e lo
Salve quanto costa quell articolo,a lo io lo
Va bene grazie lo stesso,lo a a lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo io io
Prendiamo un caffe al bar,lo a mario
Perfetto vorrei comprarne due.,lo e lo
E in offerta costa dieci euro,a lo
Quanto costa il biglietto,lo lo lo
Si grazie e arrivederci,a e lo
