Truth,Decoded
Prego,io
Tutto bene tu,lo lo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo
Si grazie e arrivederci,lo lo lo
Buonasera io sono Mario,lo lo lo
Quanto costa il biglietto,lo lo lo
A che ora arriva il pullman,e lo lo lo lo
Perfetto vorrei comprarne due.,lo lo lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo lo
Tutto bene grazie,pero lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo lo lo lo io lo acuio
Buongiorno io sono Mario,lo lo lo
Prendiamo un caffe al bar,tu lo a lo
Piacere Luigi come stai,lo lo lo lo
Prego,e lo
Tutto bene tu,lo lo
