Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo lo io
E in offerta costa dieci euro,pero io
Va bene grazie lo stesso,lo a
Le auguro una buona giornata,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo e lo
Prendiamo un caffe al bar,lo lo a
A che ora arriva il pullman,lo lo
Tutto bene grazie,lo io
Quanto costa il biglietto,lo a
Perfetto vorrei comprarne due.,lo lo e io
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",lo e lo
Si grazie e arrivederci,e io
Tutto bene grazie,lo io
Tutto bene tu,lo lo
E in offerta costa dieci euro,a lo lo e lo
