Truth,Decoded
Tutto bene grazie,un a
Certo ecco a lei vuole un sacchetto,uauo e lo lo un e mario
Buonasera io sono Mario,un lo lo lo mario
Le auguro una buona giornata,a un e io
A che ora arriva il pullman,a un lo lo lo
Piacere Luigi come stai,patn lo lo io a
Buongiorno io sono Mario,tutto lo mario
Dovrebbe arrivare tra qualche minuto,lo lo lo lo io
Salve quanto costa quell articolo,lo lo un io
Va bene grazie lo stesso,lo e io
Purtroppo non lo so pero potresti chiedere all autista,purtuono lo io acito
Prendiamo un caffe al bar,lo lo mario
Perfetto vorrei comprarne due.,lo lo mario
E in offerta costa dieci euro,e a e lo
Quanto costa il biglietto,un lo lo io
Si grazie e arrivederci,e lo
