Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo e lo
E in offerta costa dieci euro,un lo lo
Va bene grazie lo stesso,lo lo
Le auguro una buona giornata,pero
Purtroppo non lo so pero potresti chiedere all autista,lo lo
Prendiamo un caffe al bar,pero lo
A che ora arriva il pullman,lo ora
Tutto bene grazie,bar e lo
Quanto costa il biglietto,e lo
Perfetto vorrei comprarne due.,lo ora lo
Buongiorno io sono Mario,putroro
"Certo volentieri, io lo prendero macchiato",e lo
Si grazie e arrivederci,pueorao
Tutto bene grazie,pero
Tutto bene tu,lo lo
E in offerta costa dieci euro,tu lo lo lo
