Truth,Decoded
Buongiorno io sono Mario,buona io so mario
Le auguro una buona giornata,edrna ora
A che ora arriva il pullman,e a lo lo mario ilman
Prego,certo
Tutto bene grazie,tutto e io
Dovrebbe arrivare tra qualche minuto,dbrarvr e a all minuto
"Certo volentieri, io lo prendero macchiato",btoniro ora ora e mario
Quanto costa il biglietto,tutto e e lo
Prendiamo un caffe al bar,prego a a
Dovrebbe arrivare tra qualche minuto,lo e ora e
Piacere Luigi come stai,euro lo e io e le si
Salve quanto costa quell articolo,creve e e
Prego,e lo
Buonasera io sono Mario,lo lo e e a
Si grazie e arrivederci,lo
Tutto bene tu,lo lo e lo e a
