Truth,Decoded
Quanto costa il biglietto,lo bene e lo
"Certo volentieri, io lo prendero macchiato",certo lei io io poeneo macchiato
Prendiamo un caffe al bar,pero lo lo e e bar
Va bene grazie lo stesso,lo e grazie e stesso
Piacere Luigi come stai,puaio un lo mario
Le auguro una buona giornata,le auguro a buona una
Salve quanto costa quell articolo,al e a costa il rtilo
Prego,pero
Buonasera io sono Mario,buona ora io sono mario
Perfetto vorrei comprarne due.,peaeti si grazie
Buongiorno io sono Mario,buona io lo mario
Dovrebbe arrivare tra qualche minuto,dtoveb che a e e che minuto
Purtroppo non lo so pero potresti chiedere all autista,purtoponononero lo presede bene iata
Certo ecco a lei vuole un sacchetto,certo lo a lo lo sachito
A che ora arriva il pullman,a lo e mario all
Tutto bene grazie,tutto un grazie
