Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,certo lo lo lo e ahito
Dovrebbe arrivare tra qualche minuto,tu lo uouou io
Le auguro una buona giornata,lo lo lo
E in offerta costa dieci euro,e lo lo lo lo lo e lo
"Certo volentieri, io lo prendero macchiato",pero lo lo lo lo lo bene io
Si grazie e arrivederci,a lo
Tutto bene tu,e lo
Piacere Luigi come stai,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo a lo
Va bene grazie lo stesso,lo
Perfetto vorrei comprarne due.,e lo
E in offerta costa dieci euro,lo lo lo
Certo ecco a lei vuole un sacchetto,e e lo
Salve quanto costa quell articolo,e lo lo
Buonasera io sono Mario,lo lo
