Truth,Decoded
Tutto bene grazie,tutto un grazie
Certo ecco a lei vuole un sacchetto,tutto un lo lo un sono macchiato
Buonasera io sono Mario,buona io sono mario
Le auguro una buona giornata,le un una una in
A che ora arriva il pullman,non a io io
Piacere Luigi come stai,puanen lo lo lo mario
Buongiorno io sono Mario,buona io sono mario
Dovrebbe arrivare tra qualche minuto,lo bene ora e stceo
Salve quanto costa quell articolo,ciauna un io lo stceto
Va bene grazie lo stesso,va e e e sono
Purtroppo non lo so pero potresti chiedere all autista,purtonon lo lo lo lo otitidere al autista
Prendiamo un caffe al bar,sono un lo mario
Perfetto vorrei comprarne due.,quanto un grazie
E in offerta costa dieci euro,e io un ora io
Quanto costa il biglietto,quanto io a
Si grazie e arrivederci,si rzea dieci
