Truth,Decoded
Certo ecco a lei vuole un sacchetto,e lo
E in offerta costa dieci euro,lo e lo
Va bene grazie lo stesso,lo e lo
Le auguro una buona giornata,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo e lo
Prendiamo un caffe al bar,lo lo lo io
A che ora arriva il pullman,lo lo lo
Tutto bene grazie,lo e lo
Quanto costa il biglietto,lo lo
Perfetto vorrei comprarne due.,lo lo e lo
Buongiorno io sono Mario,lo e lo
"Certo volentieri, io lo prendero macchiato",tu e lo
Si grazie e arrivederci,un e io
Tutto bene grazie,pero io
Tutto bene tu,tutto lo
E in offerta costa dieci euro,e lo e io
