Truth,Decoded
Tutto bene grazie,e lo
Certo ecco a lei vuole un sacchetto,lo lo
Buonasera io sono Mario,e lo
Le auguro una buona giornata,e lo lo
A che ora arriva il pullman,e lo lo
Piacere Luigi come stai,pero lo
Buongiorno io sono Mario,pero lo
Dovrebbe arrivare tra qualche minuto,e lo
Salve quanto costa quell articolo,e lo
Va bene grazie lo stesso,pero lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo lo e lo
Prendiamo un caffe al bar,e lo io
Perfetto vorrei comprarne due.,e lo lo lo
E in offerta costa dieci euro,e lo
Quanto costa il biglietto,lo lo
Si grazie e arrivederci,e lo
