Truth,Decoded
Va bene grazie lo stesso,e e lo tu
Salve quanto costa quell articolo,pero lo a a lo miciato
Dovrebbe arrivare tra qualche minuto,lo e ora a a un io
Le auguro una buona giornata,leauguo a un e lo
E in offerta costa dieci euro,e a sono a e euro
"Certo volentieri, io lo prendero macchiato",purono io io io lo lo e mario
Si grazie e arrivederci,a e ora io lo
Tutto bene tu,tutto tu
Piacere Luigi come stai,paocro io lo stai
Purtroppo non lo so pero potresti chiedere all autista,purtro lo lo lo lo lo e a come e lacita
Va bene grazie lo stesso,e bene e so
Perfetto vorrei comprarne due.,prevre a due
E in offerta costa dieci euro,e a a a un euro
Certo ecco a lei vuole un sacchetto,e e e aevuele tnceto
Salve quanto costa quell articolo,a a un io
Buonasera io sono Mario,buona io so mario
