Truth,Decoded
Va bene grazie lo stesso,tutto non stesso
Salve quanto costa quell articolo,pero e come minuto
Dovrebbe arrivare tra qualche minuto,lo bene come tra le stiolo
Le auguro una buona giornata,le auguro a buona io
E in offerta costa dieci euro,e in un tra a un euro
"Certo volentieri, io lo prendero macchiato",euro io prendero macchiato
Si grazie e arrivederci,si io ereierceo
Tutto bene tu,tutto e tu
Piacere Luigi come stai,piacere un il stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo prtsi chiedere autista
Va bene grazie lo stesso,va bearai le stesso
Perfetto vorrei comprarne due.,perfetto ora che due
E in offerta costa dieci euro,e in costa costa io euro
Certo ecco a lei vuole un sacchetto,certo e a levcielulo stcheto
Salve quanto costa quell articolo,tutto ora a un rtilo
Buonasera io sono Mario,buoniri io sono mario
