Truth,Decoded
Buongiorno io sono Mario,lo lo mario
Le auguro una buona giornata,euro lo lo
A che ora arriva il pullman,lo e io lo
Prego,lo
Tutto bene grazie,lo lo
Dovrebbe arrivare tra qualche minuto,e a a lo
"Certo volentieri, io lo prendero macchiato",e lo lo e e mario
Quanto costa il biglietto,pero e lo
Prendiamo un caffe al bar,pero lo
Dovrebbe arrivare tra qualche minuto,lo e io
Piacere Luigi come stai,pero io e io
Salve quanto costa quell articolo,a lo
Prego,io
Buonasera io sono Mario,lo mario
Si grazie e arrivederci,lo io
Tutto bene tu,pero io
