Truth,Decoded
Tutto bene grazie,e lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo
Buonasera io sono Mario,lo lo lo
Le auguro una buona giornata,lo lo lo
A che ora arriva il pullman,a lo lo lo lo
Piacere Luigi come stai,lo lo e io
Buongiorno io sono Mario,lo lo lo
Dovrebbe arrivare tra qualche minuto,lo e lo
Salve quanto costa quell articolo,e lo lo
Va bene grazie lo stesso,lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo io io
Prendiamo un caffe al bar,lo mario
Perfetto vorrei comprarne due.,lo lo
E in offerta costa dieci euro,a lo
Quanto costa il biglietto,lo lo lo
Si grazie e arrivederci,e lo
