Truth,Decoded
Buongiorno io sono Mario,buona io sono mario
Le auguro una buona giornata,euro a lo e
A che ora arriva il pullman,lo lo mario ilman
Prego,pero
Tutto bene grazie,tutto e grazie
Dovrebbe arrivare tra qualche minuto,drbrearvr e e che minuto
"Certo volentieri, io lo prendero macchiato",butoniro lo bene mario
Quanto costa il biglietto,tutto e lo lo
Prendiamo un caffe al bar,e lo a all
Dovrebbe arrivare tra qualche minuto,lo e ora e a due
Piacere Luigi come stai,un lo io io bene stai
Salve quanto costa quell articolo,prego e e
Prego,e e
Buonasera io sono Mario,lo lo io e a
Si grazie e arrivederci,lo tu
Tutto bene tu,e tra io e
